Crop,N,P,K
apple,80,40,80
banana,80,40,80
barley,80,40,20
blackgram,40,30,20
buckwheat,40,20,20
cardamom,80,40,80
chickpea,40,60,40
coconut,80,40,80
coffee,120,60,60
cotton,80,40,100
ginger,80,40,80
grapes,80,40,80
jute,80,40,80
kidneybeans,20,40,20
lentil,40,20,30
maize,80,40,20
mango,80,40,80
mothbeans,20,40,20
mungbean,40,30,30
muskmelon,80,40,80
oilseeds,80,40,80
orange,80,40,80
papaya,80,40,80
pigeonpeas,20,40,20
pomegranate,120,60,60
potatoes,80,40,40
rice,80,40,40
sugarcane,120,40,80
tomatoes,120,60,80
turmeric,80,40,80
watermelon,80,40,80
wheat,80,40,20
